,address,camera_id,perdayviolations
126,1440 W CERMAK RD,CHI143,44.4303030303
127,3200 S ARCHER AVE,CHI144,65.3196721311
128,2109 E 87TH ST,CHI145,23.9325842697
129,215 E 63RD ST,CHI146,84.6890080429
130,4831 W LAWRENCE AVE,CHI147,72.5864135864
131,6330 S MARTIN LUTHER KING,CHI148,25.5622406639
132,4909 N CICERO AVE,CHI149,226.139512195
133,2416 W 103RD ST,CHI154,4.44793926247
134,5739 N NORTHWEST HWY,CHI156,17.6509240246
135,1754 N PULASKI RD,CHI157,7.97180762852
136,6510 W BRYN MAWR AVE,CHI158,31.1050505051
137,4053 W NORTH AVE,CHI159,15.334431631
138,4042 W ROOSEVELT RD,CHI160,32.0060483871
139,4042 W NORTH AVE,CHI161,13.1770491803
140,1117 S PULASKI RD,CHI162,19.4837398374
141,1110 S PULASKI RD,CHI163,22.4128256513
142,5532 S KEDZIE AVE,CHI164,8.6025974026
143,2417 W 103RD ST,CHI165,2.33182503771
144,3217 W 55TH ST,CHI166,1.85892116183
145,3212 W 55TH ST,CHI167,2.32234432234
146,8345 S ASHLAND AVE,CHI168,31.5635245902
147,8318 S ASHLAND AVE,CHI169,32.762195122
148,1507 W 83rd ST,CHI170,7.2387295082
149,3111 N ASHLAND AVE,CHI171,5.36490250696
150,3130 N ASHLAND AVE,CHI172,14.3222453222
