,address,camera_id,perdayviolations
112,2800 N PULASKI ROAD,1542.0,3.27263969171
113,4000 W DIVERSEY AVENUE,1543.0,2.34642857143
114,6400 W FULLERTON AVENU,1553.0,3.50537634409
115,6400 W FULLERTON AVENU,1554.0,5.08612440191
116,3600 N WESTERN AVENUE,1562.0,7.28343313373
117,2400 W ADDISON,1563.0,3.00474683544
118,4000 N PULASKI ROAD,1572.0,2.51991614256
119,4000 W IRVING PARK RD,1574.0,7.58311111111
120,2800 N KIMBALL AVENUE,1581.0,3.1318359375
121,3400 W DIVERSEY AVENUE,1583.0,2.46363636364
122,3600 N HARLEM AVENUE,1591.0,4.24752475248
123,7200 W ADDISON,1593.0,2.11697247706
124,3200 N CENTRAL AVENUE,1602.0,1.75324675325
125,5600 W BELMONT AVENUE,1604.0,1.95968790637
126,3600 N CICERO AVENUE,1611.0,4.67625899281
127,3600 N CICERO AVENUE,1612.0,4.61156278229
128,2800 N ASHLAND AVENUE,1621.0,10.0569105691
129,1600 W DIVERSEY PARKWA,1623.0,3.71739130435
130,2400 N CLARK ST,1631.0,2.70282485876
131,2400 N CLARK ST,1632.0,1.97631578947
132,5600 W DIVERSEY AVENUE,1642.0,1.61111111111
133,2800 N CENTRAL AVENUE,1642.0,1.61111111111
134,5600 W DIVERSEY AVENUE,1644.0,1.66858789625
135,2800 N CENTRAL AVENUE,1644.0,1.66858789625
136,2400 N ASHLAND AVENUE,1651.0,8.9841129744
137,2400 N ASHLAND AVENUE,1652.0,8.97020157756
138,2400 N DAMEN AVE,1662.0,1.84831460674
139,2000 W FULLERTON AVE,1663.0,12.0220779221
140,2400 N WESTERN AVENUE,1671.0,9.84690265487
141,2400 N WESTERN AVENUE,1672.0,1.50722311396
142,3600 N CENTRAL AVENUE,1682.0,2.80668016194
143,5600 W ADDISON STREET,1683.0,2.21860986547
144,2800 N CICERO AVENUE,1691.0,3.3320537428
145,4800 W DIVERSEY AVENUE,1694.0,1.91278375149
146,2400 N HALSTED STREET,1701.0,2.75098039216
147,800 W FULLERTON AVENUE,1704.0,4.73731077471
148,1200 N HALSTED,1711.0,8.838650866
149,800 W DIVISION,1714.0,7.02075812274
150,1900 N ASHLAND AVE,1721.0,18.4743255004
151,1600 W CORTLAND ST,1723.0,4.77264325323
152,2000 W DIVISION,1733.0,5.40747330961
153,2000 W DIVISION,1734.0,6.6731277533
154,400 N CENTRAL AVENUE,1742.0,4.81181818182
155,5600 W LAKE STREET,1743.0,3.62182502352
156,0 S CENTRAL AVENUE,1751.0,3.45689655172
157,5600 W MADISON STREET,1754.0,2.93867924528
158,1600 N HALSTED STREET,1761.0,4.30263157895
159,800 W NORTH AVENUE,1764.0,3.6656833825
160,1600 N HOMAN AVENUE,1771.0,1.93150684932
161,3400 W NORTH AVE,1773.0,6.63228699552
162,800 N CICERO AVENUE,1781.0,3.1334622824
163,4800 W CHICAGO AVENUE,1783.0,3.07305502846
